Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
"Plain, with no icing",1 slice,55.0,180.0,4,5.0,4.0,0.0,31.0,"Desserts, sweets"
Sponge cake,1 slice,40.0,115.0,3,2.0,2.0,0.0,22.0,"Desserts, sweets"
Candy,5,25.0,104.0,0,3.0,3.0,0.0,19.0,"Desserts, sweets"
Chocolate creams,2,30.0,130.0,0,4.0,4.0,0.0,24.0,"Desserts, sweets"
Fudge,2 pieces,90.0,370.0,0,12.0,11.0,0.1,80.0,"Desserts, sweets"
Hard candies,1 oz.,28.0,90.0,0,0.0,0.0,0.0,28.0,"Desserts, sweets"
Marshmallows,5,30.0,98.0,1,0.0,0.0,0.0,23.0,"Desserts, sweets"
Milk chocolate,2-oz. bar,56.0,290.0,2,6.0,6.0,0.2,44.0,"Desserts, sweets"
Chocolate syrup,2 T.,40.0,80.0,0,0.0,0.0,0.0,22.0,"Desserts, sweets"
Doughnuts,1,33.0,135.0,2,7.0,4.0,0.0,17.0,"Desserts, sweets"
"Gelatin, made with water",1 cup,239.0,155.0,4,0.0,0.0,0.0,36.0,"Desserts, sweets"
Honey,2 T.,42.0,120.0,0,0.0,0.0,0.0,30.0,"Jams, Jellies"
Ice cream,2 cups,300.0,250.0,0,0.0,12.0,10.0,0.0,"Desserts, sweets"
Ices,1 cup,150.0,117.0,0,0.0,0.0,0.0,48.0,"Desserts, sweets"
preserves,1 T.,20.0,55.0,0,0.0,0.0,0.0,14.0,"Jams, Jellies"
Jellies,1 T.,20.0,50.0,0,0.0,0.0,0.0,13.0,"Jams, Jellies"
Molasses,1 T.,20.0,45.0,0,0.0,0.0,8.0,11.0,"Jams, Jellies"
Cane Syrup,1 T.,20.0,50.0,0,0.0,0.0,0.0,13.0,"Jams, Jellies"
"9"" diam. pie",1 slice,135.0,330.0,3,13.0,11.0,0.1,53.0,"Desserts, sweets"
Cherry Pie,1 slice,135.0,340.0,3,13.0,11.0,0.1,55.0,"Desserts, sweets"
Custard,1 slice,130.0,265.0,7,11.0,10.0,0.0,34.0,"Desserts, sweets"
Lemon meringue,1 slice,120.0,300.0,4,12.0,10.0,0.1,45.0,"Desserts, sweets"
Mince,1 slice,135.0,340.0,3,9.0,8.0,0.7,62.0,"Desserts, sweets"
Pumpkin Pie,1 slice,130.0,265.0,5,12.0,11.0,8.0,34.0,"Desserts, sweets"
Puddings Sugar,1 cup,200.0,770.0,0,0.0,0.0,0.0,199.0,"Desserts, sweets"
3 teaspoons sugar,1 T.,12.0,50.0,0,0.0,0.0,0.0,12.0,"Desserts, sweets"
"Brown, firm-packed, dark sugar",1 cup,220.0,815.0,0,0.0,0.0,0.0,210.0,"Jams, Jellies"
Syrup,2 T.,40.0,100.0,0,0.0,0.0,0.0,25.0,"Jams, Jellies"
table blends sugar,2 T.,40.0,110.0,0,0.0,0.0,0.0,29.0,"Jams, Jellies"
Tapioca cream pudding,1 cup,250.0,335.0,10,10.0,9.0,0.0,42.0,"Desserts, sweets"
Almonds,1/2 cup,70.0,425.0,13,38.0,28.0,1.8,13.0,Seeds and Nuts
roasted and salted,1/2 cup,70.0,439.0,13,40.0,31.0,1.8,13.0,Seeds and Nuts
Brazil nuts,1/2 cup,70.0,457.0,10,47.0,31.0,2.0,7.0,Seeds and Nuts
Cashews,1/2 cup,70.0,392.0,12,32.0,28.0,0.9,20.0,Seeds and Nuts
coconut sweetened,1/2 cup,50.0,274.0,1,20.0,19.0,2.0,26.0,Seeds and Nuts
Peanut butter,1/3 cup,50.0,300.0,12,25.0,17.0,0.9,9.0,Seeds and Nuts
"Peanut butter, natural",1/3 cup,50.0,284.0,13,24.0,10.0,0.9,8.0,Seeds and Nuts
Peanuts,1/3 cup,50.0,290.0,13,25.0,16.0,1.2,9.0,Seeds and Nuts
Pecans,1/2 cup,52.0,343.0,5,35.0,25.0,1.1,7.0,Seeds and Nuts
Sesame seeds,1/2 cup,50.0,280.0,9,24.0,13.0,3.1,10.0,Seeds and Nuts
Sunflower seeds,1/2 cup,50.0,280.0,12,26.0,7.0,1.9,10.0,Seeds and Nuts
Walnuts,1/2 cup,50.0,325.0,7,32.0,7.0,1.0,8.0,Seeds and Nuts
Beer,2 cups,480.0,228.0,0,0.0,0.0,0.0,8.0,"Drinks,Alcohol, Beverages"
Gin,1 oz.,28.0,70.0,0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Wines,1/2 cup,120.0,164.0,0,0.0,0.0,0.0,9.0,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol),1/2 cup,120.0,100.0,0,0.0,0.0,0.0,5.0,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,12 oz.,346.0,0.0,0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Club soda,12 oz.,346.0,0.0,0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Cola drinks,12 oz.,346.0,137.0,0,0.0,0.0,0.0,38.0,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,12 oz.,346.0,161.0,0,0.0,0.0,0.0,42.0,"Drinks,Alcohol, Beverages"
Ginger ale,12 oz.,346.0,105.0,0,0.0,0.0,0.0,28.0,"Drinks,Alcohol, Beverages"
Root beer,12 oz.,346.0,140.0,0,0.0,0.0,0.0,35.0,"Drinks,Alcohol, Beverages"
Coffee,1 cup,230.0,3.0,0,0.0,0.0,0.0,1.0,"Drinks,Alcohol, Beverages"
Tea,1 cup,230.0,4.0,0,0.0,0.0,0.0,1.0,"Drinks,Alcohol, Beverages"
